player_name,nation,position,team_name,league,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,3,1,86,0,0,0,0,0,0.0,0.0
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,4,1,120,0,0,0,2,0,0.0,0.0
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,1,1,65,0,0,0,1,0,0.1,0.0
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,6,0,88,0,0,0,1,0,0.1,0.0
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,1,0,3,0,0,0,0,0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,16,11,1033,0,0,0,2,0,0.2,0.1
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,32,32,2842,6,1,3,4,0,6.4,3.2
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,12,10,855,0,0,0,2,0,0.0,0.0
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,25,17,1393,5,2,0,2,0,4.3,1.9
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,4,2,205,0,1,0,0,0,0.0,0.2
Abel,es ESP,DF,Osasuna,es La Liga,23.0,35,20,2074,2,0,0,3,0,0.5,1.0
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,7,4,263,0,0,0,1,0,0.0,0.0
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1,0,7,0,0,0,0,0,0.0,0.0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,34,33,2768,9,2,1,3,0,8.5,3.8
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,19,12,1090,1,1,0,1,0,0.6,1.1
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,26,22,1901,7,2,1,4,0,10.2,1.6
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,29,29,2463,0,1,0,13,0,0.9,0.3
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,1,0,1,0,0,0,0,0,0.0,0.0
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,28,12,1183,3,4,1,1,0,7.1,2.2
Federico Accornero,it ITA,MF,Genoa,it Serie A,20.0,1,0,5,0,0,0,0,0,0.0,0.0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,23,20,1710,0,1,0,0,0,0.4,0.6
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,4,2,170,0,0,0,1,0,0.2,0.0
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,4,1,134,0,0,0,0,0,0.4,0.0
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,15,13,1075,3,1,0,2,0,4.3,1.0
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,36,30,2652,9,3,0,2,0,9.0,2.0
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,28,21,1965,0,3,0,7,0,1.6,1.0
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,25,19,1545,2,2,0,5,1,5.5,2.4
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,22,15,1409,1,1,0,4,0,0.9,0.2
Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20.0,1,0,26,0,0,0,0,0,0.0,0.0
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,25,17,1433,7,6,0,4,0,5.5,6.0
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,29,12,1097,2,2,0,0,0,2.5,2.5
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,20,6,766,2,0,0,3,0,2.7,0.7
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,25,14,1219,4,6,0,3,1,1.0,2.4
Adrián,es ESP,GK,Betis,es La Liga,37.0,19,19,1710,0,0,0,3,0,0.0,0.0
Adryelson,br BRA,DF,Lyon,fr Ligue 1,26.0,1,0,1,0,0,0,1,0,0.0,0.0
Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18.0,6,0,42,0,0,0,0,0,0.0,0.0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,14,9,724,0,0,0,2,0,0.4,0.4
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,32,17,1639,3,1,0,3,0,3.1,3.8
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,16,16,1410,1,0,0,3,0,0.8,0.2
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,14,14,1260,0,0,0,3,0,0.5,0.3
Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18.0,2,0,6,0,0,0,0,0,0.0,0.0
Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18.0,8,1,300,1,0,0,1,0,0.7,0.2
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,14,14,1206,0,0,0,1,1,0.0,0.0
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,35,24,2114,1,3,0,5,1,0.9,2.5
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,22,21,1751,3,0,0,1,0,1.4,1.8
Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,16,4,443,0,1,0,3,0,0.6,0.6
Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21.0,2,0,5,0,0,0,0,0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,21,21,1760,0,0,0,5,0,2.4,0.1
Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31.0,16,13,1124,1,2,0,4,0,0.8,1.9
Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22.0,3,0,58,0,0,0,0,0,0.0,0.0
Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16.0,6,3,270,0,0,0,0,0,0.5,0.1
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22.0,5,0,43,0,0,0,0,0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,26,26,1959,2,0,0,7,0,1.8,1.0
Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,8,6,583,0,0,0,0,0,0.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28.0,1,0,2,0,0,0,0,0,0.0,0.0
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,5,1,127,0,0,0,0,0,0.1,0.0
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,35,35,2995,2,1,0,5,0,0.6,1.4
Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,37,37,3109,4,7,0,7,1,2.7,5.5
Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19.0,2,0,13,0,0,0,0,0,0.0,0.0
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,24,17,1438,0,0,0,5,0,1.0,1.2
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,31,29,2495,13,2,0,5,0,10.4,3.1
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,26,23,2014,0,0,0,3,0,1.6,0.4
Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,9,6,500,0,0,0,2,0,0.1,0.1
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,10,8,678,0,0,0,0,0,0.2,0.0
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20.0,11,7,584,1,0,0,1,0,0.6,1.0
Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,30,29,2523,2,3,0,5,0,1.5,2.5
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22.0,32,27,2406,5,10,1,2,0,9.2,7.3
Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26.0,2,0,19,0,0,0,1,0,0.0,0.0
Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,31,29,2486,0,1,0,7,0,0.3,0.9
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31.0,14,12,966,0,0,0,4,0,0.3,0.2
David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22.0,4,0,45,0,0,0,0,0,0.0,0.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29.0,32,23,2220,0,0,0,3,0,0.1,0.3
Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28.0,14,6,639,3,1,1,0,0,5.0,0.5
David Alaba,at AUT,DF,Real Madrid,es La Liga,32.0,7,4,317,0,0,0,1,0,0.0,0.1
Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18.0,3,1,160,0,0,0,0,0,0.0,0.0
Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34.0,14,0,62,1,0,0,0,0,0.6,0.1
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38.0,15,14,1188,0,0,0,5,0,0.1,0.0
Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21.0,1,0,10,0,0,0,0,0,0.1,0.1
Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21.0,15,7,764,2,3,0,4,0,1.7,1.6
Omar Alderete,py PAR,DF,Getafe,es La Liga,27.0,34,34,2971,1,0,0,8,0,1.7,0.9
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26.0,10,5,452,0,0,0,1,0,0.9,0.1
Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26.0,14,13,1090,0,2,0,1,0,0.7,1.3
Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23.0,2,1,91,0,0,0,1,0,0.0,0.1
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25.0,33,28,2365,3,6,0,5,0,1.9,7.3
Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25.0,26,14,1371,5,2,0,1,1,4.6,2.6
Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20.0,27,21,1621,3,4,0,2,0,4.0,4.0
Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23.0,3,0,71,0,0,0,0,0,0.0,0.0
Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,28,28,2508,0,0,0,0,0,0.0,0.6
Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25.0,1,0,2,0,0,0,1,0,0.0,0.0
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29.0,28,23,1750,1,3,0,3,0,4.2,2.5
Dele Alli,eng ENG,MF,Como,it Serie A,28.0,1,0,9,0,0,0,0,1,0.0,0.0
Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23.0,16,9,951,1,4,0,3,0,2.0,2.6
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24.0,34,24,1977,0,4,0,2,0,1.2,3.2
Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20.0,2,0,48,0,1,0,0,0,0.0,0.7
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30.0,9,1,157,0,0,0,0,0,0.5,0.3
Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25.0,29,10,1112,1,1,0,5,0,2.1,1.3
Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33.0,31,29,2647,3,0,3,10,2,4.0,1.3
Giorgio Altare,it ITA,DF,Venezia,it Serie A,25.0,12,8,753,0,0,0,2,0,0.2,0.1
Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23.0,22,19,1630,0,0,0,6,0,0.3,0.5
Sergi Altimira,es ESP,MF,Betis,es La Liga,22.0,32,22,1972,0,1,0,4,0,1.7,1.7
Olabade Aluko,,DF,Leicester City,eng Premier League,,1,0,2,0,0,0,0,0,0.0,0.0
Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26.0,28,20,1772,0,1,0,9,1,0.4,0.8
Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21.0,26,16,1572,4,3,0,6,0,2.5,1.1
Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24.0,37,30,2509,17,4,4,5,0,14.1,5.3
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29.0,21,20,1781,1,0,0,4,0,0.5,0.2
Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22.0,12,1,236,0,0,0,1,0,0.0,0.0
Will Alves,eng ENG,FW,Leicester City,eng Premier League,19.0,1,0,1,0,0,0,0,0,0.0,0.0
Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27.0,24,18,1376,3,1,1,6,0,3.5,1.1
Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17.0,5,4,346,0,0,0,0,0,0.1,0.0
Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28.0,13,5,375,0,1,0,1,0,0.4,0.5
Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30.0,11,8,790,0,0,0,2,0,0.3,0.2
Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21.0,8,1,96,0,0,0,1,0,0.0,0.3
Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26.0,30,23,2165,1,0,0,5,0,1.0,0.8
Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28.0,30,27,2437,1,3,0,3,0,1.5,3.3
Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27.0,30,30,2473,7,5,2,9,2,5.5,6.6
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18.0,2,0,28,0,0,0,1,0,0.0,0.1
Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18.0,9,3,320,2,0,0,0,0,0.7,0.6
Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18.0,1,0,8,0,0,0,0,0,0.0,0.0
Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18.0,17,9,859,0,0,0,2,0,0.5,0.4
Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24.0,31,29,2467,10,9,2,6,0,8.7,4.0
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27.0,2,2,180,0,0,0,0,0,0.0,0.1
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28.0,1,1,90,0,0,0,1,0,0.0,0.0
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28.0,29,29,2583,0,0,0,6,1,1.0,0.5
Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21.0,37,33,2728,2,6,0,10,0,2.1,3.3
André,br BRA,MF,Wolves,eng Premier League,23.0,33,31,2472,0,0,0,7,0,0.4,0.8
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33.0,30,30,2692,0,3,0,12,0,1.4,1.9
Marcos André,br BRA,FW,Valladolid,es La Liga,27.0,22,14,1188,1,2,0,5,0,2.7,0.8
Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29.0,23,19,1598,2,2,0,7,0,1.3,0.3
Angeliño,es ESP,DF,Roma,it Serie A,27.0,38,36,3177,2,1,0,1,0,1.4,3.7
